gene	gene_name_mut_table
FBXO22	FBXO22
FOXB1	FOXB1
FRMD5	FRMD5
FURIN	FURIN
GABPB1	GABPB1
GABRA5	GABRA5
GABRB3	GABRB3
HCN4	HCN4
HDGFL3	HDGFL3
HERC1	HERC1
HERC2	HERC2
IGF1R	IGF1R
INO80	INO80
IQGAP1	IQGAP1
IREB2	IREB2
KIF23	KIF23
LINGO1	LINGO1
MAGEL2	MAGEL2
MAP1A	MAP1A
MEF2A	MEF2A
MEIS2	MEIS2
MGA	MGA
MORF4L1	MORF4L1
MYO5A	MYO5A
NIPA2	NIPA2
NPTN	NPTN
NR2F2	NR2F2
NTRK3	NTRK3
OTUD7A	OTUD7A
PARP6	PARP6
PDIA3	PDIA3
PIAS1	PIAS1
PYGO1	PYGO1
RAB11A	RAB11A
RASGRF1	RASGRF1
RASGRP1	RASGRP1
RFX7	RFX7
RNF111	RNF111
RPL4	RPL4
RTF1	RTF1
SEMA6D	SEMA6D
SIN3A	SIN3A
SLTM	SLTM
SNAP23	SNAP23
SNRPA1	SNRPA1
SNX1	SNX1
SPRED1	SPRED1
THBS1	THBS1
TJP1	TJP1
TLE3	TLE3
TLN2	TLN2
TLNRD1	TLNRD1
TP53BP1	TP53BP1
TTBK2	TTBK2
UBE3A	UBE3A
USP3	USP3
USP8	USP8
ZNF592	ZNF592
ZNF609	ZNF609
ZNF710	ZNF710
ZNF770	ZNF770
RNF220	RNF220
ROR1	ROR1
RORC	RORC
RPL11	RPL11
RPL5	RPL5
RPRD2	RPRD2
RPS8	RPS8
RRAGC	RRAGC
RUSC1	RUSC1
RYR2	RYR2
S100PBP	S100PBP
SARS	SARS
SERBP1	SERBP1
SERPINC1	SERPINC1
SETDB1	SETDB1
SF3A3	SF3A3
SF3B4	SF3B4
SFPQ	SFPQ
SGIP1	SGIP1
SH3GLB1	SH3GLB1
SHE	SHE
SIPA1L2	SIPA1L2
SKI	SKI
SLC2A1	SLC2A1
SLC30A1	SLC30A1
SLC30A10	SLC30A10
SMG7	SMG7
SNRPE	SNRPE
SNX27	SNX27
SORT1	SORT1
SOX13	SOX13
SPEN	SPEN
SPRTN	SPRTN
SRGAP2	SRGAP2
SRRM1	SRRM1
SRSF11	SRSF11
SSBP3	SSBP3
STK40	STK40
STX12	STX12
SUCO	SUCO
SWT1	SWT1
SYCP1	SYCP1
SYT11	SYT11
SYT14	SYT14
SYT2	SYT2
TAF12	TAF12
TAF5L	TAF5L
TARDBP	TARDBP
TDRD5	TDRD5
TGFB2	TGFB2
THRAP3	THRAP3
TIPRL	TIPRL
TMEM201	TMEM201
ADCY9	ADCY9
ANKRD11	ANKRD11
AP1G1	AP1G1
ARHGDIG	ARHGDIG
ATP6V0D1	ATP6V0D1
ATXN1L	ATXN1L
ATXN2L	ATXN2L
BANP	BANP
BCAR1	BCAR1
BRD7	BRD7
C16orf70	C16orf70
C16orf72	C16orf72
CACNG3	CACNG3
CAPN15	CAPN15
CASKIN1	CASKIN1
CBFB	CBFB
CD19	CD19
CDH11	CDH11
CDH8	CDH8
CHD9	CHD9
CMIP	CMIP
CNOT1	CNOT1
CORO1A	CORO1A
CREBBP	CREBBP
CSNK2A2	CSNK2A2
CTCF	CTCF
CYLD	CYLD
DNAJA2	DNAJA2
DYNC1LI2	DYNC1LI2
